path,sha256,kind,added,deleted,binary,bytes,role,why,decision
.github/workflows/check.yml,12dca930e66c22614a51d150e960f8718da44d40cafb67db29deaecb036a6928,configuration,19,1,False,2287,把合同漂移、Rust检查、隔离数据库和容器烟测纳入CI,防止只在本机编译成功；新增模块进入同一验收入口,保留：CI运行成功与本地成功仍须分别报告
Cargo.lock,e3f6ad441647d4b6fd3b11418db953e45ec60d53ff0f11410ea4f9d3b07db89d,lock,419,1,False,86980,锁定新增JSON Schema、哈希/编码、URL、模型HTTP及下载解析的依赖树,新增直接依赖会产生传递依赖与校验和；419行并非419行业务,保留：应用仓库应提交锁文件，逐项审查直接依赖即可
Cargo.toml,f0c983b96eee14e6a92ace69c5bfadb6a1fe29e5263e01d904cf12db004551bf,configuration,1,0,False,1781,注册nexofolio-evidence工作区依赖,新增纯机械证据crate是用户计划明确要求,保留：仅1行，不新增微服务
README.md,3ab8aa2e9a44a513200046b7048cb7824ee79961d7ccee3dbab5e5a8b6fe72e9,configuration,63,6,False,15056,补充采集、目录、维护、命令、运行配置和验收边界,仓库交付后需能启动并知道什么已做/未做,保留：应聚焦入口，过程试验下沉验证文档
apps/backend/Cargo.toml,9ea5bf80e000e91c93e39fbe7e73d1e881380948cd141b5b2689f5763bbf0f2d,configuration,28,0,False,2183,增加传输校验/模型装配/测试目标及下载reqwest+YAML+semver依赖,实际路由和独立集成测试编译需要；下载依赖来自另一个任务,保留：直接依赖按功能分审，别把下载算入维护引擎
apps/backend/examples/downloads_preview.rs,29cede779dcf6101721ccd700d1abe146db3a6345ec4771b06aa536770e83df7,scripts,21,0,False,703,启动隔离下载路由联调服务,下载任务不重启共享18080也能测试真实路由,保留：开发/交付工具，不计入运行时业务
apps/backend/src/bin/admin.rs,3f21f21fd563e9bdc0256e2e71260ea575b44916e96dad68bb666082ab79f994,code,112,0,False,5379,增加路径策略、旧目录候选、单条处理和失败重试命令,早期无前端时提供实际操作入口；路径例外和故障恢复仍需运维通道,收缩：旧目录生成命令停止扩展，统一维护成熟后再退役
apps/backend/src/bin/worker.rs,5faa627247e3d23f75c627d3102911369d3e181e3edc73d3d1985668ee35ae2b,code,36,1,False,1931,装配并运行观测处理、证据处理和知识维护三个后台循环,把解析、关联和模型耗时移出批次接收；共用关闭信号,保留：调度入口应继续保持薄
apps/backend/src/http/access.rs,8b67b8d29c021426e63eca844947866b6ff58a435d3e7278f7561ca373a8b6b5,code,78,3,False,9526,在既有会话鉴权下增加环境列表、创建和改名，同时容纳业务HTTP状态,用户要求插件选环境及平台内部管理环境；沿用项目权限,调整：环境路由应独立，AccessHttp不应长期容纳所有业务状态
apps/backend/src/http/capture.rs,406fbc07156ff0e26a5083f01998f7678de479664e7395f29e006d64857c9ec1,code,306,0,False,11718,接收v3、能力声明、资产上传下载、观测与证据读取,同结构仍需独立证据收讫；资产与JSON分开；每次读取要鉴权,保留并拆小：接收、资产、证据查询三个传输职责当前合在306行
apps/backend/src/http/catalog_preview.rs,794536e9a671bde1b20ded5a9238ebe6ad3938559a16ced84fe15f45e80594d8,code,76,0,False,2288,旧目录候选任务列表和详情接口,已有候选页面/记录需要继续可读,兼容保留：不作为新维护主入口
apps/backend/src/http/documents.rs,c280858a90509186254448cebe29d38d9760acc3ab6c639d8ced3447b8ff03a7,code,123,0,False,3566,正式观测接口列表、环境定义、观测历史与原文读取,目录之外需要查看接口本体；结构是观测资料，不等于人工确认合同,保留：与后续语义层分开读取
apps/backend/src/http/downloads.rs,2329faa13e2207892c6a25bd3e670a43d701ca3cbc34d37a0389b2a4f365f2dd,code,333,0,False,10353,公开发行元信息API、并发合并、缓存、上游限时和分项结果,另一下载任务用于解决浏览器直读OSS及渠道聚合；与接口知识维护无关,单独交付：有独立需求依据，不能拿来解释本轮核心功能体量
apps/backend/src/http/downloads/manifests.rs,400637c868deca8b0671f9ab14a96cfc2658a7d3537756ac9097b5f02535d1d0,code,176,0,False,5562,解析Fetcher JSON及桌面YAML，验证版本/文件名/安装包链接,下载任务需处理两种清单；只返回经过约束的发行地址,单独交付：当前直接放HTTP模块，可接受小型读服务但不要蔓延
apps/backend/src/http/downloads/tests.rs,b9c7eb92b4bb87a65bd70864f99f8239d778de3dd373d7b74e30dcb0e2e07d03,test,458,0,False,15942,下载清单解析、缓存并发、体积/超时、渠道和路由测试,独立下载任务的故障面与知识维护无关,单独交付：458行测试不属于生产代码
apps/backend/src/http/ingestion.rs,8a23960daaa700461364b267af29b34d1d70440f593283099a4970926e5956b7,code,289,0,False,10619,v1/v2接收、协议选择、JSON校验、大小并发保护及v3分流,旧插件队列不能失效；共同HTTP边界应稳定,保留并关注：三代协议分支需明确退役规则，不能无限复制
apps/backend/src/http/maintenance.rs,eea8c1627aab4b31dc947a83c24ff695952865282554e5c12440325615a108a5,code,179,0,False,5631,显式创建维护、任务状态/快照/检查点、语义读取、发布回退,前端无需挑全量或局部；所有写操作走会话和项目权限,保留：对应用户明确的统一知识维护入口
apps/backend/src/http/mod.rs,11ecdcbb1333548e639f01137157e320d20474d716b75cbd2372d650bc463491,code,41,1,False,5632,挂载采集、文档、目录、维护及下载路由，保留健康检查/MCP,新功能只有装入主Router才能被客户端调用；下载是另外授权的功能,保留：装配变更需独立审查，源码挂载不等于运行镜像已更新
apps/backend/src/http/official_catalog.rs,ccf89f7cda1bb0d0cdb0f98f183c224fbc46ac38fa0e327c5cda79221b368242,code,120,0,False,3783,正式目录读取及旧目录专用发布/回退,保留已存在API，并保证旧目录操作不回退语义,兼容保留：界面应降为次级，避免误用
apps/backend/src/wiring/access.rs,5ada1f5e31f9f5706413b46a4c36ecc4d02ee1160aba4a1fd84fccef1dbe8634,code,65,3,False,3174,创建存储实现、应用服务和HTTP依赖并注入,保持业务crate不直接new数据库；按capture配置启用新链路,调整：函数已超出access职责，应拆环境/采集/知识装配
apps/backend/src/wiring/catalog.rs,13110e5f95aa2f71133311216c5d589bb9bb5e05c333c27e6f65ef56ee418d26,code,72,0,False,2431,分别创建旧目录模型和统一维护模型/存储/预算,复用现有provider，同时允许未配置能力明确报错,调整：旧模型路径不再新开发，最终收敛一条模型调用适配
